Custom_Account,JPM_Account,Statement_Date,Currency,Opening_Balance,Commission,Option_Premium,Journal_Items,Gross_Realised_Profit_Loss,Closing_Balance,Open_Trade_Equity,Total_Equity,Net_Market_Value_of_Options,Initial_Margin_Requirement,Maintenance_Margin_Requirement,Margin_Value_Securities,AFR_Excess_Cash_Equity,Net_Liquidating_Value,Conversion_Rate,Conv_Net_Liquidating_Value,account_type,custom_account_name,japanese_initial_requirement,jpm_account_name,Stmnt_Recap_Cat_Description,transaction_source_type,Pending Cash Total,Pending Trade Date Balance,Pending Incremental EXC/DEF
4B459,4B459,2-Jan-20,{Conv Tot},-5044801.28,0,0,0,0,-5044801.28,130600,-4914201.28,0,64800,64800,0,-4979001.28,-4914201.28,1,-4914201.28,Converted Total,PETROCHINA INTERNATIONAL,0,PETROCHINA INTERNATIONAL,** COMPUTED TOTAL **,FINAL,0,-4914201.28,-4979001.28
4B459,4B459,2-Jan-20,USD,-5044801.28,0,0,0,0,-5044801.28,130600,-4914201.28,0,64800,64800,0,-4979001.28,-4914201.28,1,-4914201.28,SEGREGATED - USD,PETROCHINA INTERNATIONAL,0,PETROCHINA INTERNATIONAL,** US SEG USD **,FINAL,0,-4914201.28,-4979001.28
4B460,4B460,2-Jan-20,{Conv Tot},-2434144.52,0,0,0,0,-2434144.52,0,-2434144.52,0,0,0,0,-2434144.52,-2434144.52,1,-2434144.52,Converted Total,PETROCHINA INTERNATIONAL,0,PETROCHINA INTERNATIONAL,** COMPUTED TOTAL **,FINAL,0,-2434144.52,-2434144.52
4B460,4B460,2-Jan-20,USD,-2434144.52,0,0,0,0,-2434144.52,0,-2434144.52,0,0,0,0,-2434144.52,-2434144.52,1,-2434144.52,SEGREGATED - USD,PETROCHINA INTERNATIONAL,0,PETROCHINA INTERNATIONAL,** US SEG USD **,FINAL,0,-2434144.52,-2434144.52
4C241,4C241,2-Jan-20,{Conv Tot},187788699.3,0,0,10660.5,0,187799359.8,0,187799359.8,0,0,0,0,187799359.8,187799359.8,1,187799359.8,Converted Total,PETROCHINA INTERNATIONAL,0,PETROCHINA INTERNATIONAL,** COMPUTED TOTAL **,FINAL,0,187799359.8,187799359.8
4C241,4C241,2-Jan-20,USD,1501474.18,0,0,10660.5,0,1512134.68,0,1512134.68,0,0,0,0,1512134.68,1512134.68,1,1512134.68,NON-SEGREGATED USD,PETROCHINA INTERNATIONAL,0,PETROCHINA INTERNATIONAL,* 30.7 SECURED USD *,FINAL,0,1512134.68,1512134.68
4C241,4C241,2-Jan-20,USD,186287225.1,0,0,0,0,186287225.1,0,186287225.1,0,0,0,0,186287225.1,186287225.1,1,186287225.1,SEGREGATED - USD,PETROCHINA INTERNATIONAL,0,PETROCHINA INTERNATIONAL,** US SEG USD **,FINAL,0,186287225.1,186287225.1
71304,71304,2-Jan-20,{Conv Tot},2402059.1,0,0,0,0,2402059.1,854400.01,3256459.11,0,0,0,0,3256459.11,3256459.11,1,3256459.11,Converted Total,PETROCHINA INTL (HK) CORP LTD,0,PETROCHINA INTL (HK) CORP LTD,** COMPUTED TOTAL **,FINAL,0,3256459.11,3256459.11
71304,71304,2-Jan-20,USD,2402059.1,0,0,0,0,2402059.1,854400.01,3256459.11,0,0,0,0,3256459.11,3256459.11,1,3256459.11,USD               SG,PETROCHINA INTL (HK) CORP LTD,0,PETROCHINA INTL (HK) CORP LTD,**US$ US EXCHANGES**,FINAL,0,3256459.11,3256459.11
C1922,C1922,2-Jan-20,{Conv Tot},0,0,0,0,0,2.42,0,2.42,0,0,0,0,2.42,2.42,1,2.42,Converted Total,CHINAOIL (HK) CORPORATION LTD,0,CHINAOIL (HK) CORPORATION LTD,** COMPUTED TOTAL **,FINAL,0,2.42,2.42
C1922,C1922,2-Jan-20,USD,0,0,0,0,0,2.42,0,2.42,0,0,0,0,2.42,2.42,1,2.42,USD               SG,CHINAOIL (HK) CORPORATION LTD,0,CHINAOIL (HK) CORPORATION LTD,**US$ US EXCHANGES**,FINAL,0,2.42,2.42
C1930,C1930,2-Jan-20,{Conv Tot},32856283.57,0,0,0,0,34200550.72,-8777134.75,25423415.97,0,14039681,14039681,0,11383734.97,25423415.97,1,25423415.97,Converted Total,PETROCHINA INTL (SG) PTE LTD,0,PETROCHINA INTL (SG) PTE LTD,** COMPUTED TOTAL **,FINAL,0,25423415.97,11383734.97
C1930,C1930,2-Jan-20,GBP,-23.63,0,0,0,0,-23.63,0,-23.63,0,0,0,0,-23.63,-23.63,1.31875,-31.16,BRITISH POUNDS-LIFFE,PETROCHINA INTL (SG) PTE LTD,0,PETROCHINA INTL (SG) PTE LTD,** BRITISH POUNDS **,FINAL,0,-23.63,-23.63
C1930,C1930,2-Jan-20,USD,511151,0,0,0,0,511151,0,511151,0,0,0,0,511151,511151,1,511151,USD               NS,PETROCHINA INTL (SG) PTE LTD,0,PETROCHINA INTL (SG) PTE LTD,*US$ NON-US EXCHANGES*,FINAL,0,511151,511151
C1930,C1930,2-Jan-20,USD,32345163.73,0,0,0,0,33689430.88,-8777134.75,24912296.13,0,14039681,14039681,0,10872615.13,24912296.13,1,24912296.13,USD               SG,PETROCHINA INTL (SG) PTE LTD,0,PETROCHINA INTL (SG) PTE LTD,**US$ US EXCHANGES**,FINAL,0,24912296.13,10872615.13
D2982,D2982,2-Jan-20,{Conv Tot},8777851.9,0,0,0,0,8790452.94,3280721.91,12071174.85,659500,10934956,10934956,0,1136218.85,12730674.85,1,12730674.85,Converted Total,PETROCHINA INTERNATIONAL,0,PETROCHINA INTERNATIONAL,** COMPUTED TOTAL **,FINAL,0,12071174.85,1136218.85
D2982,D2982,2-Jan-20,EUR,-0.19,0,0,0,0,-0.19,0,-0.19,0,0,0,0,-0.19,-0.19,1.1201,-0.21,NON-SEG EURO,PETROCHINA INTERNATIONAL,0,PETROCHINA INTERNATIONAL,* 30.7 SECURED EUR *,FINAL,0,-0.19,-0.19
D2982,D2982,2-Jan-20,USD,0.18,0,0,0,0,12361.37,0,12361.37,0,0,0,0,12361.37,12361.37,1,12361.37,NON-SEGREGATED USD,PETROCHINA INTERNATIONAL,0,PETROCHINA INTERNATIONAL,* 30.7 SECURED USD *,FINAL,0,12361.37,12361.37
D2982,D2982,2-Jan-20,USD,8777851.9,0,0,0,0,8778091.75,3280721.91,12058813.66,659500,10934956,10934956,0,1123857.66,12718313.66,1,12718313.66,SEGREGATED - USD,PETROCHINA INTERNATIONAL,0,PETROCHINA INTERNATIONAL,** US SEG USD **,FINAL,0,12058813.66,1123857.66
D2982,D2982,2-Jan-20,ZAR,0.47,0,0,0,0,0.47,0,0.47,0,0,0,0,0.47,0.47,0.07115411,0.03,SOUTH AFRICAN RAND,PETROCHINA INTERNATIONAL,0,PETROCHINA INTERNATIONAL,* 30.7 SECURED ZAR *,FINAL,0,0.47,0.47
DB318,DB318,2-Jan-20,{Conv Tot},17074949.75,0,0,0,0,17263329.51,-6305927.5,10957402.01,223000,11137530,11137530,0,-180127.99,11180402.01,1,11180402.01,Converted Total,PETROCHINA INTERNATIONAL,0,PETROCHINA INTERNATIONAL,** COMPUTED TOTAL **,FINAL,0,10957402.01,-180127.99
DB318,DB318,2-Jan-20,USD,0,0,0,0,0,10660.5,0,10660.5,0,0,0,0,10660.5,10660.5,1,10660.5,NON-SEGREGATED USD,PETROCHINA INTERNATIONAL,0,PETROCHINA INTERNATIONAL,* 30.7 SECURED USD *,FINAL,0,10660.5,10660.5
DB318,DB318,2-Jan-20,USD,17074949.75,0,0,0,0,17252669.01,-6305927.5,10946741.51,223000,11137530,11137530,0,-190788.49,11169741.51,1,11169741.51,SEGREGATED - USD,PETROCHINA INTERNATIONAL,0,PETROCHINA INTERNATIONAL,** US SEG USD **,FINAL,0,10946741.51,-190788.49
Z1913,Z1913,2-Jan-20,{Conv Tot},94793900.77,0,0,0,0,36302552.04,-1398844.2,34903707.84,0,39073689,39073689,0,-4169981.16,34903707.84,1,34903707.84,Converted Total,PETROCHINA INTL (HK) CORP LTD,0,PETROCHINA INTL (HK) CORP LTD,** COMPUTED TOTAL **,FINAL,0,34903707.84,-4169981.16
Z1913,Z1913,2-Jan-20,USD,2942.9,0,0,0,0,2942.9,0,2942.9,0,0,0,0,2942.9,2942.9,1,2942.9,USD               NS,PETROCHINA INTL (HK) CORP LTD,0,PETROCHINA INTL (HK) CORP LTD,*US$ NON-US EXCHANGES*,FINAL,0,2942.9,2942.9
Z1913,Z1913,2-Jan-20,USD,94790957.87,0,0,0,0,36299609.14,-1398844.2,34900764.94,0,39073689,39073689,0,-4172924.06,34900764.94,1,34900764.94,USD               SG,PETROCHINA INTL (HK) CORP LTD,0,PETROCHINA INTL (HK) CORP LTD,**US$ US EXCHANGES**,FINAL,0,34900764.94,-4172924.06
